iter	Passed	Remaining
0	0	579
1	1	514
2	1	489
3	4	1109
4	4	980
5	5	884
6	5	818
7	6	769
8	6	730
9	7	697
10	7	672
11	7	650
12	8	631
13	8	615
14	9	601
15	9	587
16	9	576
17	10	580
18	11	573
19	11	563
20	11	555
21	12	547
22	12	540
23	13	533
24	13	527
25	13	521
26	14	515
27	14	510
28	15	505
29	15	501
30	15	497
31	16	493
32	18	555
33	19	552
34	19	547
35	20	543
36	20	539
37	21	536
38	21	531
39	21	527
40	22	525
41	22	521
42	23	518
43	23	514
44	24	511
45	24	515
46	25	511
47	25	508
48	26	506
49	26	504
50	26	501
51	27	498
52	27	496
53	28	493
54	28	491
55	28	488
56	29	486
57	29	483
58	30	481
59	30	479
60	30	477
61	31	474
62	55	830
63	56	823
64	56	815
65	57	808
66	57	801
67	58	795
68	58	788
69	58	781
70	59	775
71	59	768
72	60	762
73	60	756
74	60	750
75	61	746
76	61	741
77	62	736
78	65	762
79	65	757
80	66	751
81	66	746
82	67	749
83	68	744
84	68	739
85	69	734
86	69	730
87	70	725
88	70	721
89	70	716
90	71	711
91	71	707
92	72	702
93	72	698
94	72	694
95	73	690
96	73	685
97	74	681
98	74	677
99	74	673
100	75	669
101	75	666
102	76	662
103	76	658
104	76	655
105	77	651
106	80	671
107	80	667
108	81	664
109	82	666
110	82	662
111	83	659
112	83	656
113	84	653
114	84	649
115	84	646
116	85	642
117	85	639
118	85	636
119	86	633
120	86	630
121	87	626
122	87	623
123	87	620
124	88	617
125	88	614
126	88	611
127	89	608
128	89	606
129	90	603
130	90	600
131	90	598
132	91	595
133	91	592
134	92	590
135	96	614
136	97	611
137	97	609
138	97	606
139	98	604
140	98	602
141	99	598
142	99	595
143	99	593
144	100	591
145	100	589
146	101	586
147	101	584
148	101	582
149	102	580
150	102	577
151	103	575
152	103	573
153	103	571
154	104	569
155	104	566
156	105	564
157	105	562
158	105	560
159	106	558
160	106	555
161	107	553
162	116	596
163	116	594
164	117	592
165	117	590
166	117	588
167	118	586
168	118	583
169	119	581
170	119	579
171	120	577
172	120	575
173	120	573
174	121	571
175	121	569
176	122	567
177	126	585
178	127	583
179	127	581
180	128	579
181	128	577
182	128	575
183	129	573
184	129	571
185	130	569
186	130	567
187	130	565
188	131	563
189	131	561
190	132	560
191	132	558
192	133	556
193	133	554
194	133	552
195	134	550
196	134	549
197	135	547
198	135	545
199	135	543
200	136	541
201	136	540
202	137	538
203	145	568
204	146	567
205	146	565
206	147	563
207	147	561
208	147	559
209	148	558
210	148	556
211	149	554
212	149	552
213	150	551
214	150	549
215	150	547
216	151	545
217	151	544
218	152	542
219	152	540
220	155	548
221	156	547
222	156	545
223	156	543
224	157	542
225	157	540
226	158	538
227	158	537
228	159	535
229	159	533
230	159	532
231	160	530
232	160	529
233	161	527
234	161	525
235	161	524
236	162	522
237	162	521
238	163	519
239	163	517
240	163	516
241	164	514
242	164	513
243	165	511
244	165	510
245	165	508
246	166	507
247	166	505
248	167	504
249	167	502
250	170	508
251	170	507
252	171	505
253	171	504
254	172	502
255	172	501
256	172	500
257	173	498
258	173	497
259	174	495
260	174	494
261	175	493
262	175	491
263	175	490
264	176	488
265	176	487
266	177	486
267	177	484
268	177	483
269	178	482
270	178	480
271	179	479
272	179	477
273	179	476
274	180	475
275	180	474
276	181	472
277	181	471
278	185	480
279	186	479
280	186	478
281	187	476
282	187	475
283	188	474
284	188	473
285	188	471
286	189	470
287	189	469
288	190	467
289	190	466
290	191	465
291	191	464
292	191	462
293	192	461
294	192	460
295	193	459
296	193	457
297	193	456
298	194	455
299	194	454
300	195	453
301	195	451
302	196	452
303	196	450
304	197	449
305	200	454
306	200	453
307	201	451
308	201	450
309	202	449
310	202	448
311	202	447
312	203	446
313	203	445
314	204	443
315	204	442
316	204	441
317	205	440
318	205	439
319	206	438
320	206	436
321	207	435
322	207	434
323	207	433
324	208	432
325	208	431
326	209	430
327	209	429
328	223	456
329	224	455
330	225	454
331	225	453
332	225	452
333	226	451
334	226	450
335	227	449
336	227	447
337	230	451
338	230	450
339	231	449
340	231	447
341	232	446
342	232	445
343	233	444
344	233	443
345	233	442
346	234	440
347	234	439
348	235	438
349	235	437
350	235	436
351	236	434
352	236	433
353	237	432
354	237	431
355	237	430
356	238	429
357	240	431
358	241	430
